Date,Month,OMR,Sac.cfs,SJR.cfs
1932/2/29,2,-5000,24114,6210
1932/6/30,6,-5000,16518,2159
1933/1/31,1,-5000,15689,2070
1933/2/28,2,-5000,16319,2020
1935/6/30,6,-5000,14155,2581
1935/10/31,10,-5000,8417,2747
1935/11/30,11,-5000,9099,2005
1936/6/30,6,-5000,12780,2680
1937/1/31,1,-5000,14169,3508
1937/12/31,12,-5000,59976,7968
1938/1/31,1,-5000,31091,9222
1939/2/28,2,-5000,14365,3091
1940/2/29,2,-5000,59522,5573
1940/6/30,6,-5000,13323,2387
1940/7/31,7,-5000,22356,1719
1940/12/31,12,-5000,30933,4230
1941/12/31,12,-5000,44621,5489
1942/1/31,1,-5000,62524,12289
1942/6/30,6,-5000,11839,6649
1942/10/31,10,-5000,11825,2885
1942/12/31,12,-5000,28252,4469
1943/2/28,2,-5000,50737,11904
1943/10/31,10,-5000,12010,2731
1944/1/31,1,-5000,13838,2206
1944/6/30,6,-5000,15457,2139
1944/9/30,9,-5000,9016,1811
1944/10/31,10,-5000,8370,2420
1944/12/31,12,-5000,17638,2501
1945/1/31,1,-5000,14300,2428
1945/6/30,6,-5000,14369,2409
1945/8/31,8,-5000,10708,1999
1945/12/31,12,-5000,55888,6961
1946/1/31,1,-5000,45227,6721
1946/2/28,2,-5000,19498,4684
1946/6/30,6,-5000,13507,2340
1946/10/31,10,-5000,9004,2334
1947/1/31,1,-5000,10794,2593
1947/6/30,6,-5000,15605,1299
1947/7/31,7,-5000,12883,943
1947/9/30,9,-5000,9462,1581
1947/10/31,10,-5000,9422,1890
1948/6/30,6,-5000,13085,2153
1949/1/31,1,-5000,11719,1488
1949/2/28,2,-5000,17567,1805
1949/6/30,6,-5000,14065,1791
1949/8/31,8,-5000,10377,1351
1950/6/30,6,-5000,12454,2421
1951/6/30,6,-5000,15642,1891
1951/12/31,12,-5000,40785,2116
1952/1/31,1,-5000,66451,8797
1952/2/29,2,-5000,66666,8968
1952/12/31,12,-5000,36203,2484
1953/1/31,1,-5000,69940,7188
1953/6/30,6,-5000,13276,1859
1955/1/31,1,-5000,20144,2197
1955/2/28,2,-5000,15501,1747
1955/12/31,12,-5000,52534,12765
1956/6/30,6,-5000,12968,6205
1956/7/31,7,-5000,15625,3009
1956/10/31,10,-5000,12135,2703
1957/1/31,1,-5000,13407,1963
1957/6/30,6,-5000,12519,1885
1957/12/31,12,-5000,25298,1727
1958/6/30,6,-5000,14955,8422
1959/2/28,2,-5000,48150,6281
1959/10/31,10,-5000,8915,1820
1959/11/30,11,-5000,9566,1539
1960/1/31,1,-5000,12644,1340
1960/6/30,6,-5000,16198,1139
1960/8/31,8,-5000,10220,1074
1960/9/30,9,-5000,9014,1521
1960/10/31,10,-5000,8923,1644
1961/1/31,1,-5000,12590,1284
1961/6/30,6,-5000,15586,988
1961/7/31,7,-5000,13756,761
1961/9/30,9,-5000,9270,1347
1961/11/30,11,-5000,9935,1318
1962/1/31,1,-5000,11036,1138
1962/2/28,2,-5000,52298,5289
1962/6/30,6,-5000,13279,1865
1962/12/31,12,-5000,28887,1494
1963/6/30,6,-5000,15963,2674
1964/2/29,2,-5000,16870,2084
1964/6/30,6,-5000,15187,1182
1964/9/30,9,-5000,8650,1505
1964/10/31,10,-5000,8890,1766
1964/12/31,12,-5000,45921,2416
1965/1/31,1,-5000,77272,11405
1965/10/31,10,-5000,11881,2547
1966/6/30,6,-5000,13876,1378
1966/9/30,9,-5000,9117,1616
1966/10/31,10,-5000,9527,1873
1966/12/31,12,-5000,38687,2633
1967/1/31,1,-5000,42617,4321
1968/6/30,6,-5000,16687,1300
1968/10/31,10,-5000,9285,1806
1968/12/31,12,-5000,25103,1779
1969/12/31,12,-5000,43276,4981
1970/2/28,2,-5000,64321,10135
1970/6/30,6,-5000,14972,1432
1970/12/31,12,-5000,57816,1720
1971/6/30,6,-5000,12984,1751
1971/12/31,12,-5000,19596,1929
1972/6/30,6,-5000,14945,1201
1972/12/31,12,-5000,28005,1702
1973/2/28,2,-5000,69361,7861
1973/6/30,6,-5000,16564,2148
1973/12/31,12,-5000,63364,3134
1974/1/31,1,-5000,75659,9417
1974/2/28,2,-5000,42328,6135
1974/6/30,6,-5000,13747,2797
1974/10/31,10,-5000,12180,3273
1975/1/31,1,-5000,13731,2774
1975/2/28,2,-5000,52223,9002
1975/6/30,6,-5000,14123,4424
1976/2/29,2,-5000,13283,2391
1976/3/31,3,-5000,14342,1675
1976/7/31,7,-5000,11928,1125
1976/12/31,12,-5000,8951,1273
1977/2/28,2,-5000,12220,1245
1977/12/31,12,-5000,16697,1247
1978/2/28,2,-5000,51991,9329
1978/10/31,10,-5000,12400,2423
1979/6/30,6,-5000,16381,2018
1980/9/30,9,-5000,16956,2404
1980/10/31,10,-5000,11960,3006
1981/6/30,6,-5000,15957,1471
1981/8/31,8,-5000,10535,1334
1981/12/31,12,-5000,70295,1847
1983/7/31,7,-5000,12935,12984
1984/6/30,6,-5000,16644,2394
1985/1/31,1,-5000,12584,2220
1985/2/28,2,-5000,18717,2856
1985/6/30,6,-5000,15814,1338
1986/10/31,10,-5000,12192,3675
1987/1/31,1,-5000,14124,1659
1987/12/31,12,-5000,18472,1400
1988/2/29,2,-5000,21747,1356
1988/6/30,6,-5000,15200,960
1989/1/31,1,-5000,14705,1211
1989/6/30,6,-5000,14322,907
1989/8/31,8,-5000,10503,1016
1989/10/31,10,-5000,9272,1645
1990/1/31,1,-5000,18647,1195
1990/2/28,2,-5000,16891,1516
1990/6/30,6,-5000,15541,807
1992/1/31,1,-5000,10750,973
1993/6/30,6,-5000,14838,4967
1993/10/31,10,-5000,12341,2580
1994/1/31,1,-5000,13104,1335
1994/2/28,2,-5000,24966,2320
1995/7/31,7,-5000,9782,13263
1995/12/31,12,-5000,25481,2297
1996/1/31,1,-5000,50605,4969
1996/6/30,6,-5000,11813,3098
1997/6/30,6,-5000,17373,3504
1997/9/30,9,-5000,14615,2334
1998/12/31,12,-5000,39412,4414
1999/6/30,6,-5000,14215,2069
2000/2/29,2,-5000,64721,14259
2000/12/31,12,-5000,9831,1888
2001/1/31,1,-5000,16153,2018
2001/12/31,12,-5000,35658,1790
2002/6/30,6,-5000,14825,1109
2002/8/31,8,-5000,11143,1209
2002/12/31,12,-5000,40364,1591
2003/6/30,6,-5000,12792,1206
1922/3/31,3,-3500,35195,11187
1922/5/31,5,-3500,41639,9471
1923/3/31,3,-3500,13512,4496
1923/6/30,6,-3500,10468,2966
1924/10/31,10,-3500,7170,1868
1924/11/30,11,-3500,7304,1590
1925/3/31,3,-3500,17524,2408
1925/8/31,8,-3500,8215,1415
1926/3/31,3,-3500,16301,1766
1927/3/31,3,-3500,44264,3579
1928/3/31,3,-3500,73169,6767
1929/3/31,3,-3500,14428,1686
1930/3/31,3,-3500,30238,1906
1930/8/31,8,-3500,8720,1225
1930/10/31,10,-3500,7373,1976
1932/10/31,10,-3500,6624,2602
1932/11/30,11,-3500,7600,1862
1934/1/31,1,-3500,20435,1757
1934/12/31,12,-3500,10325,1625
1935/1/31,1,-3500,29360,2319
1935/3/31,3,-3500,27966,2937
1936/1/31,1,-3500,39431,2919
1936/3/31,3,-3500,30089,7531
1936/11/30,11,-3500,9081,1955
1937/2/28,2,-3500,35830,18424
1937/3/31,3,-3500,37002,12226
1937/5/31,5,-3500,14696,13034
1938/6/30,6,-3500,21450,15300
1939/1/31,1,-3500,10826,2493
1939/3/31,3,-3500,11548,3619
1939/12/31,12,-3500,8860,1562
1940/1/31,1,-3500,30855,3072
1940/3/31,3,-3500,69925,14407
1940/4/30,4,-3500,56319,11935
1941/3/31,3,-3500,62748,14260
1941/6/30,6,-3500,9766,7698
1942/3/31,3,-3500,23904,8042
1944/3/31,3,-3500,21265,3639
1944/8/31,8,-3500,9500,1477
1945/3/31,3,-3500,21501,8518
1946/3/31,3,-3500,20724,5440
1947/3/31,3,-3500,20614,1581
1947/8/31,8,-3500,8620,1105
1948/1/31,1,-3500,14434,1426
1948/3/31,3,-3500,16751,1596
1949/3/31,3,-3500,47815,2469
1950/1/31,1,-3500,24426,1843
1950/3/31,3,-3500,20206,2108
1951/3/31,3,-3500,32057,7615
1952/3/31,3,-3500,60663,14322
1953/3/31,3,-3500,23527,3835
1954/1/31,1,-3500,32767,1519
1954/3/31,3,-3500,46438,2529
1954/6/30,6,-3500,11363,1891
1955/3/31,3,-3500,13876,1847
1955/8/31,8,-3500,9484,1279
1957/3/31,3,-3500,43037,4337
1959/1/31,1,-3500,30222,2769
1959/3/31,3,-3500,16434,3686
1959/6/30,6,-3500,13440,1217
1960/3/31,3,-3500,21323,1553
1961/3/31,3,-3500,20127,1412
1961/8/31,8,-3500,8770,882
1962/3/31,3,-3500,23553,3660
1963/3/31,3,-3500,29263,2462
1964/1/31,1,-3500,24723,2416
1964/3/31,3,-3500,12042,1606
1965/3/31,3,-3500,19219,4963
1965/7/31,7,-3500,16621,2347
1966/1/31,1,-3500,34206,4695
1966/3/31,3,-3500,25138,4227
1967/3/31,3,-3500,53166,11875
1967/5/31,5,-3500,38925,15035
1967/6/30,6,-3500,19680,16385
1968/1/31,1,-3500,26777,2480
1968/3/31,3,-3500,33565,4617
1969/7/31,7,-3500,12868,5166
1969/8/31,8,-3500,11426,3597
1970/3/31,3,-3500,34824,9308
1971/3/31,3,-3500,49428,2682
1972/3/31,3,-3500,29856,1547
1973/3/31,3,-3500,50763,8841
1974/3/31,3,-3500,72458,10741
1975/3/31,3,-3500,61099,10190
1976/1/31,1,-3500,9965,1790
1977/9/30,9,-3500,7318,1004
1978/3/31,3,-3500,58992,9677
1978/6/30,6,-3500,9404,6960
1979/1/31,1,-3500,23558,6467
1979/3/31,3,-3500,27548,10496
1980/7/31,7,-3500,13780,3757
1981/1/31,1,-3500,21129,2353
1981/3/31,3,-3500,23358,4168
1982/11/30,11,-3500,32223,15290
1984/3/31,3,-3500,33810,8566
1984/10/31,10,-3500,9240,3577
1985/3/31,3,-3500,13592,2505
1986/1/31,1,-3500,26697,1659
1987/3/31,3,-3500,24523,2509
1988/7/31,7,-3500,10760,750
1988/9/30,9,-3500,7425,1374
1989/3/31,3,-3500,55744,1432
1989/12/31,12,-3500,8746,1277
1990/9/30,9,-3500,7774,1320
1990/11/30,11,-3500,12809,1445
1991/1/31,1,-3500,7883,1020
1991/9/30,9,-3500,7719,1218
1992/9/30,9,-3500,7606,974
1993/1/31,1,-3500,58616,4736
1993/3/31,3,-3500,49245,3634
1994/7/31,7,-3500,10320,659
1994/11/30,11,-3500,15347,1217
1995/1/31,1,-3500,71697,4728
1995/6/30,6,-3500,17619,16537
1996/5/31,5,-3500,30447,7828
1996/10/31,10,-3500,11011,2713
1998/1/31,1,-3500,35815,4018
1999/3/31,3,-3500,58731,7398
2000/1/31,1,-3500,23720,2840
2000/3/31,3,-3500,52155,11840
2001/3/31,3,-3500,22454,3339
2001/8/31,8,-3500,8955,1117
2002/3/31,3,-3500,20043,1938
2003/3/31,3,-3500,26549,1715
1921/10/31,10,-2000,13317,2470
1922/4/30,4,-2000,32053,9523
1923/5/31,5,-2000,12731,5646
1924/3/31,3,-2000,13184,1292
1924/5/31,5,-2000,7913,1345
1924/6/30,6,-2000,8551,978
1924/7/31,7,-2000,8461,934
1924/8/31,8,-2000,7195,1064
1924/9/30,9,-2000,5535,1460
1925/4/30,4,-2000,26280,6159
1926/8/31,8,-2000,7601,1135
1927/4/30,4,-2000,49373,8050
1927/5/31,5,-2000,15328,4603
1928/5/31,5,-2000,13727,2859
1928/10/31,10,-2000,11705,2219
1929/5/31,5,-2000,10965,1757
1929/7/31,7,-2000,9022,1073
1929/8/31,8,-2000,6980,1181
1929/9/30,9,-2000,6133,1675
1929/10/31,10,-2000,7835,1946
1929/11/30,11,-2000,5849,1655
1930/4/30,4,-2000,12666,1763
1930/5/31,5,-2000,10579,1791
1931/3/31,3,-2000,9575,1171
1931/4/30,4,-2000,11234,1060
1931/5/31,5,-2000,7694,1063
1931/6/30,6,-2000,8191,996
1931/7/31,7,-2000,9211,1010
1931/8/31,8,-2000,7232,1076
1931/9/30,9,-2000,5512,1483
1931/10/31,10,-2000,5441,1841
1931/11/30,11,-2000,12598,1423
1932/5/31,5,-2000,13602,4475
1932/8/31,8,-2000,7493,1585
1933/5/31,5,-2000,9849,2283
1933/7/31,7,-2000,8711,1232
1933/8/31,8,-2000,6865,1348
1933/10/31,10,-2000,5492,2261
1934/4/30,4,-2000,12978,1031
1934/5/31,5,-2000,10913,1029
1934/6/30,6,-2000,11333,1092
1934/7/31,7,-2000,8803,932
1934/8/31,8,-2000,7316,1054
1935/5/31,5,-2000,19217,7129
1937/6/30,6,-2000,11772,3679
1939/4/30,4,-2000,12982,2834
1939/6/30,6,-2000,12555,1217
1939/7/31,7,-2000,10938,1076
1939/8/31,8,-2000,8081,1208
1939/11/30,11,-2000,6852,1710
1940/5/31,5,-2000,12459,5208
1942/5/31,5,-2000,23734,9270
1943/7/31,7,-2000,15480,1786
1945/5/31,5,-2000,11062,5754
1946/4/30,4,-2000,16218,7997
1946/5/31,5,-2000,12333,5602
1948/4/30,4,-2000,30218,3467
1948/5/31,5,-2000,31361,2508
1949/4/30,4,-2000,13734,3156
1949/5/31,5,-2000,13974,2428
1951/4/30,4,-2000,12102,6951
1951/5/31,5,-2000,11636,3591
1952/4/30,4,-2000,55604,15439
1953/4/30,4,-2000,15101,5379
1953/5/31,5,-2000,20556,4100
1954/4/30,4,-2000,37998,5553
1954/5/31,5,-2000,15021,3476
1954/10/31,10,-2000,10021,2143
1956/2/29,2,-2000,65094,15870
1956/4/30,4,-2000,15545,8650
1957/5/31,5,-2000,16788,3256
1958/3/31,3,-2000,72188,14463
1959/4/30,4,-2000,11497,2381
1959/5/31,5,-2000,11799,1890
1959/12/31,12,-2000,7615,1433
1960/4/30,4,-2000,17453,1751
1960/5/31,5,-2000,10109,1715
1961/5/31,5,-2000,11824,1381
1962/4/30,4,-2000,13604,6808
1963/4/30,4,-2000,68350,7670
1963/5/31,5,-2000,20565,4763
1964/4/30,4,-2000,11284,2068
1964/5/31,5,-2000,13972,1727
1966/5/31,5,-2000,15124,2180
1968/5/31,5,-2000,10367,1982
1970/10/31,10,-2000,10390,2375
1971/4/30,4,-2000,24287,5322
1971/5/31,5,-2000,20147,3381
1973/5/31,5,-2000,9661,7370
1974/5/31,5,-2000,16993,5781
1975/5/31,5,-2000,26595,4775
1976/5/31,5,-2000,8626,1587
1977/1/31,1,-2000,8253,1220
1977/4/30,4,-2000,10338,1122
1977/5/31,5,-2000,6722,1366
1977/6/30,6,-2000,9091,673
1977/7/31,7,-2000,9091,571
1977/8/31,8,-2000,7898,615
1977/10/31,10,-2000,5349,1305
1980/5/31,5,-2000,10636,7433
1981/4/30,4,-2000,15857,4139
1984/5/31,5,-2000,9076,4270
1985/4/30,4,-2000,11927,2848
1986/5/31,5,-2000,8563,10745
1986/7/31,7,-2000,13814,1971
1987/4/30,4,-2000,14081,1533
1987/6/30,6,-2000,12694,1139
1987/7/31,7,-2000,10876,1013
1987/8/31,8,-2000,8036,1170
1987/10/31,10,-2000,6403,1796
1988/5/31,5,-2000,10798,1405
1988/10/31,10,-2000,5393,1325
1989/4/30,4,-2000,23396,1865
1989/5/31,5,-2000,15023,1346
1990/10/31,10,-2000,5358,1677
1991/2/28,2,-2000,11559,1302
1991/5/31,5,-2000,8057,1774
1991/6/30,6,-2000,11001,987
1991/7/31,7,-2000,9038,827
1991/8/31,8,-2000,7702,957
1992/5/31,5,-2000,11014,948
1992/6/30,6,-2000,12201,570
1992/7/31,7,-2000,9202,525
1992/10/31,10,-2000,5103,1288
1993/4/30,4,-2000,36064,5751
1993/5/31,5,-2000,17393,8558
1994/5/31,5,-2000,8418,1685
1994/6/30,6,-2000,9379,851
1994/8/31,8,-2000,7901,742
1996/2/29,2,-2000,75134,15158
1996/3/31,3,-2000,59972,13225
1997/4/30,4,-2000,15480,6835
1997/5/31,5,-2000,9508,5885
1998/6/30,6,-2000,36564,18257
2000/5/31,5,-2000,10770,4224
2000/10/31,10,-2000,8857,2800
2001/6/30,6,-2000,12913,1188
2001/10/31,10,-2000,6475,1812
2002/4/30,4,-2000,14658,2253
2002/5/31,5,-2000,10665,2077
2003/4/30,4,-2000,28326,3272
2003/5/31,5,-2000,37713,2294
