Date,Sac.cfs,SJR.cfs,Month,Year,Sub.group
1933-04-30T00:00:00Z,6389.876132556105,2242.901963419308,4,1933,lomed
1933-05-31T00:00:00Z,8173.212758477648,1788.3499609848268,5,1933,lolo
1933-06-30T00:00:00Z,6709.555221275906,1011.0831619016834,6,1933,lolo
1933-12-31T00:00:00Z,17552.079394775028,1399.0962618992219,12,1933,medlo
1934-01-31T00:00:00Z,18615.78476660607,1686.0202750227506,1,1934,medlo
1934-02-28T00:00:00Z,17075.465044644294,2029.276288163484,2,1934,medmed
1934-03-31T00:00:00Z,12199.805973007995,1759.2426342462575,3,1934,lolo
1934-04-30T00:00:00Z,6232.477006452591,1985.4870032860272,4,1934,lomed
1934-05-31T00:00:00Z,7247.696507960681,1338.2817491512797,5,1934,lolo
1934-06-30T00:00:00Z,6759.291669579704,1064.1417605714216,6,1934,lolo
1934-12-31T00:00:00Z,9547.467926885492,1366.9322603198382,12,1934,lolo
1935-01-31T00:00:00Z,29432.234312910707,2277.803567550905,1,1935,himed
1935-02-28T00:00:00Z,17692.802472939147,2222.675463473093,2,1935,medmed
1935-03-31T00:00:00Z,24754.904320772337,2328.0422953799803,3,1935,himed
1935-04-30T00:00:00Z,42920.111880596276,4829.092073541627,4,1935,hihi
1935-05-31T00:00:00Z,22364.43874008732,3281.9528869517167,5,1935,medmed
1935-06-30T00:00:00Z,11750.870024178575,2058.82434034268,6,1935,lomed
1935-12-31T00:00:00Z,10454.22442465352,1583.0839722312046,12,1935,lolo
1936-01-31T00:00:00Z,40145.52556007083,2196.834292537079,1,1936,himed
1936-02-29T00:00:00Z,69209.27456204651,15311.295944640244,2,1936,hihi
1936-03-31T00:00:00Z,30033.58227347714,7467.02543404055,3,1936,hihi
1936-04-30T00:00:00Z,20205.63142209455,9795.414703920122,4,1936,medhi
1936-05-31T00:00:00Z,12628.610335200377,4929.243455576921,5,1936,lohi
1936-06-30T00:00:00Z,9645.843842990862,2571.8372582519714,6,1936,lomed
1936-12-31T00:00:00Z,10987.739978168041,1964.0105667589473,12,1936,lolo
1937-01-31T00:00:00Z,13100.772429877652,2379.2944207308774,1,1937,lomed
1937-02-28T00:00:00Z,42716.92828217322,10647.121918259276,2,1937,hihi
1937-03-31T00:00:00Z,36946.88218168967,8633.253018170039,3,1937,hihi
1937-04-30T00:00:00Z,18289.530173894742,8478.075124149673,4,1937,medhi
1937-05-31T00:00:00Z,13501.8780863442,7623.344258904939,5,1937,medhi
1937-06-30T00:00:00Z,13814.501404803677,3224.3581672066152,6,1937,medmed
1937-12-31T00:00:00Z,59965.64566907157,4991.1888254998175,12,1937,hihi
1938-01-31T00:00:00Z,29085.302493125826,5888.246934252951,1,1938,hihi
1938-02-28T00:00:00Z,80510.37683221212,25174.42429469277,2,1938,hihi
1938-03-31T00:00:00Z,76031.23916573045,25903.85706016363,3,1938,hihi
1938-04-30T00:00:00Z,47657.12821629254,17201.540526033303,4,1938,hihi
1938-05-31T00:00:00Z,26525.030754030606,19669.047967980525,5,1938,hihi
1938-06-30T00:00:00Z,10911.279757158476,10009.604555406142,6,1938,lohi
1938-12-31T00:00:00Z,12819.920449785152,1867.975032458972,12,1938,lolo
1939-01-31T00:00:00Z,12498.198482185493,2093.59487437693,1,1939,lomed
1939-02-28T00:00:00Z,12517.44832833698,2427.5384052240242,2,1939,lomed
1939-03-31T00:00:00Z,10701.609503821628,2366.341979323192,3,1939,lomed
1939-04-30T00:00:00Z,12332.179631748895,2404.838795081597,4,1939,lomed
1939-05-31T00:00:00Z,12560.75528133911,1973.8795744434885,5,1939,lolo
1939-06-30T00:00:00Z,10089.187889967277,1343.9701002622437,6,1939,lolo
1939-12-31T00:00:00Z,10870.28391694179,1252.8685777406142,12,1939,lolo
1940-01-31T00:00:00Z,32679.253687913173,4732.8646763664,1,1940,hihi
1940-02-29T00:00:00Z,62693.09113361349,5016.598353697898,2,1940,hihi
1940-03-31T00:00:00Z,66646.04318042859,8914.614462937048,3,1940,hihi
1940-04-30T00:00:00Z,37734.32401467972,8894.640098476879,4,1940,hihi
1940-05-31T00:00:00Z,15147.880484530067,5020.882629641016,5,1940,medhi
1940-06-30T00:00:00Z,12829.163997555774,2556.3132289317055,6,1940,lomed
1940-12-31T00:00:00Z,35881.15054125392,5542.182702116717,12,1940,hihi
1941-01-31T00:00:00Z,65799.33924776345,3622.747581189657,1,1941,himed
1941-02-28T00:00:00Z,71557.28833603543,11408.645173824088,2,1941,hihi
1941-03-31T00:00:00Z,63743.498447088714,9854.630282989912,3,1941,hihi
1941-04-30T00:00:00Z,56882.183563730105,11815.483946580654,4,1941,hihi
1941-05-31T00:00:00Z,24431.605739685543,11229.752724919808,5,1941,medhi
1941-06-30T00:00:00Z,12147.179178479108,5799.084313710087,6,1941,lohi
1941-12-31T00:00:00Z,46804.680844301954,3643.5826516027523,12,1941,himed
1942-01-31T00:00:00Z,61173.05789144092,7078.20348801178,1,1942,hihi
1942-02-28T00:00:00Z,71649.05903871571,9033.507308156628,2,1942,hihi
1942-03-31T00:00:00Z,24181.56002644178,6817.182100149481,3,1942,medhi
1942-04-30T00:00:00Z,40272.73389049154,9568.991392105045,4,1942,hihi
1942-05-31T00:00:00Z,27077.893975763043,8381.075468600533,5,1942,hihi
1942-06-30T00:00:00Z,12641.262568188615,4151.845065784454,6,1942,lohi
1942-12-31T00:00:00Z,25567.142985812286,2774.260334974582,12,1942,himed
1943-01-31T00:00:00Z,64059.53856848752,11907.953420206351,1,1943,hihi
1943-02-28T00:00:00Z,47707.23392691546,10722.453438237904,2,1943,hihi
1943-03-31T00:00:00Z,58077.01298404575,17187.29517483822,3,1943,hihi
1943-04-30T00:00:00Z,21983.900918682717,11668.270739551637,4,1943,medhi
1943-05-31T00:00:00Z,12006.620404406824,5699.018221051368,5,1943,lohi
1943-06-30T00:00:00Z,13261.640600875677,2901.8770938660527,6,1943,lomed
1943-12-31T00:00:00Z,10520.303298233872,1634.2686152681792,12,1943,lolo
1944-01-31T00:00:00Z,12747.790479522815,1892.5063024751453,1,1944,lolo
1944-02-29T00:00:00Z,26182.425534512295,2849.1291648647602,2,1944,himed
1944-03-31T00:00:00Z,19925.40593202457,2403.474299368376,3,1944,medmed
1944-04-30T00:00:00Z,11952.206784632033,2919.6881224796903,4,1944,lomed
1944-05-31T00:00:00Z,9596.170957843398,2384.0269129645394,5,1944,lomed
1944-06-30T00:00:00Z,13444.258121641333,1556.2480032403596,6,1944,medlo
1944-12-31T00:00:00Z,17706.21649097516,1513.4139945293107,12,1944,medlo
1945-01-31T00:00:00Z,13374.918999600648,1743.775428568819,1,1945,lolo
1945-02-28T00:00:00Z,50238.66388768446,6377.318188056285,2,1945,hihi
1945-03-31T00:00:00Z,21715.151117810285,5632.379274201279,3,1945,medhi
1945-04-30T00:00:00Z,11667.142629788386,6718.595302098243,4,1945,lohi
1945-05-31T00:00:00Z,11827.781292657264,4163.284419940116,5,1945,lohi
1945-06-30T00:00:00Z,11839.656392917374,2350.36162555874,6,1945,lomed
1945-12-31T00:00:00Z,55449.29529368669,5797.7586605806955,12,1945,hihi
1946-01-31T00:00:00Z,48027.294504452344,5502.996978384436,1,1946,hihi
1946-02-28T00:00:00Z,22515.34402346228,5445.329355188524,2,1946,medhi
1946-03-31T00:00:00Z,22053.14664801292,4898.470011574141,3,1946,medhi
1946-04-30T00:00:00Z,13153.03794538569,6266.420934707517,4,1946,lohi
1946-05-31T00:00:00Z,12372.187780308997,3920.2426566588842,5,1946,lomed
1946-06-30T00:00:00Z,12848.859423088532,2264.1779421901924,6,1946,lomed
