Sub.group,OMR,Alt,n,percent
medmed,NA,Alt2woTUCPwoVA,29,4
medmed,NA,Alt2woTUCPDeltaVA,48,7
medmed,NA,Alt2woTUCPAllVA,54,8
medmed,NA,Alt2wTUCPwoVA,27,4
medmed,NA,Alt4,27,4
medhi,-2000,NAA,11,2
medhi,-2000,Alt1,7,1
medhi,-2000,Alt2woTUCPwoVA,11,2
medhi,-2000,Alt2woTUCPDeltaVA,7,1
medhi,-2000,Alt2woTUCPAllVA,8,1
medhi,-2000,Alt2wTUCPwoVA,11,2
medhi,-2000,Alt4,11,2
medhi,-3500,NAA,8,1
medhi,-3500,Alt1,13,2
medhi,-3500,Alt2woTUCPwoVA,24,3
medhi,-3500,Alt2woTUCPDeltaVA,19,3
medhi,-3500,Alt2woTUCPAllVA,21,3
medhi,-3500,Alt2wTUCPwoVA,25,4
medhi,-3500,Alt4,25,4
medhi,-5000,NAA,1,0
medhi,-5000,Alt1,5,1
medhi,-5000,Alt2woTUCPwoVA,2,0
medhi,-5000,Alt2woTUCPDeltaVA,2,0
medhi,-5000,Alt2woTUCPAllVA,2,0
medhi,-5000,Alt2wTUCPwoVA,2,0
medhi,-5000,Alt4,4,1
medhi,<-5500,NAA,1,0
medhi,<-5500,Alt1,11,2
medhi,<-5500,Alt2woTUCPwoVA,0,NA
medhi,<-5500,Alt2woTUCPDeltaVA,0,NA
medhi,<-5500,Alt2woTUCPAllVA,0,NA
medhi,<-5500,Alt2wTUCPwoVA,0,NA
medhi,<-5500,Alt4,1,0
medhi,NA,NAA,30,4
medhi,NA,Alt1,18,3
medhi,NA,Alt2woTUCPwoVA,13,2
medhi,NA,Alt2woTUCPDeltaVA,22,3
medhi,NA,Alt2woTUCPAllVA,24,3
medhi,NA,Alt2wTUCPwoVA,13,2
medhi,NA,Alt4,11,2
hilo,-2000,NAA,0,NA
hilo,-2000,Alt1,0,NA
hilo,-2000,Alt2woTUCPwoVA,0,NA
hilo,-2000,Alt2woTUCPDeltaVA,0,NA
hilo,-2000,Alt2woTUCPAllVA,0,NA
hilo,-2000,Alt2wTUCPwoVA,0,NA
hilo,-2000,Alt4,0,NA
hilo,-3500,NAA,2,0
hilo,-3500,Alt1,1,0
hilo,-3500,Alt2woTUCPwoVA,6,1
hilo,-3500,Alt2woTUCPDeltaVA,6,1
hilo,-3500,Alt2woTUCPAllVA,5,1
hilo,-3500,Alt2wTUCPwoVA,6,1
hilo,-3500,Alt4,3,0
hilo,-5000,NAA,10,1
hilo,-5000,Alt1,0,NA
hilo,-5000,Alt2woTUCPwoVA,8,1
hilo,-5000,Alt2woTUCPDeltaVA,8,1
hilo,-5000,Alt2woTUCPAllVA,7,1
hilo,-5000,Alt2wTUCPwoVA,8,1
hilo,-5000,Alt4,8,1
hilo,<-5500,NAA,1,0
hilo,<-5500,Alt1,20,3
hilo,<-5500,Alt2woTUCPwoVA,1,0
hilo,<-5500,Alt2woTUCPDeltaVA,1,0
hilo,<-5500,Alt2woTUCPAllVA,2,0
hilo,<-5500,Alt2wTUCPwoVA,1,0
hilo,<-5500,Alt4,0,NA
hilo,NA,NAA,7,1
hilo,NA,Alt1,0,NA
hilo,NA,Alt2woTUCPwoVA,5,1
hilo,NA,Alt2woTUCPDeltaVA,4,1
hilo,NA,Alt2woTUCPAllVA,4,1
hilo,NA,Alt2wTUCPwoVA,5,1
hilo,NA,Alt4,9,1
himed,-2000,NAA,4,1
himed,-2000,Alt1,0,NA
himed,-2000,Alt2woTUCPwoVA,3,0
himed,-2000,Alt2woTUCPDeltaVA,5,1
himed,-2000,Alt2woTUCPAllVA,5,1
himed,-2000,Alt2wTUCPwoVA,3,0
himed,-2000,Alt4,2,0
himed,-3500,NAA,12,2
himed,-3500,Alt1,1,0
himed,-3500,Alt2woTUCPwoVA,21,3
himed,-3500,Alt2woTUCPDeltaVA,14,2
himed,-3500,Alt2woTUCPAllVA,14,2
himed,-3500,Alt2wTUCPwoVA,21,3
himed,-3500,Alt4,13,2
himed,-5000,NAA,24,3
himed,-5000,Alt1,0,NA
himed,-5000,Alt2woTUCPwoVA,20,3
himed,-5000,Alt2woTUCPDeltaVA,19,3
himed,-5000,Alt2woTUCPAllVA,19,3
himed,-5000,Alt2wTUCPwoVA,20,3
himed,-5000,Alt4,32,5
himed,<-5500,NAA,3,0
himed,<-5500,Alt1,65,9
himed,<-5500,Alt2woTUCPwoVA,3,0
himed,<-5500,Alt2woTUCPDeltaVA,3,0
himed,<-5500,Alt2woTUCPAllVA,3,0
himed,<-5500,Alt2wTUCPwoVA,3,0
himed,<-5500,Alt4,1,0
himed,NA,NAA,19,3
himed,NA,Alt1,2,0
himed,NA,Alt2woTUCPwoVA,21,3
himed,NA,Alt2woTUCPDeltaVA,27,4
himed,NA,Alt2woTUCPAllVA,27,4
himed,NA,Alt2wTUCPwoVA,21,3
himed,NA,Alt4,18,3
hihi,-2000,NAA,16,2
hihi,-2000,Alt1,12,2
hihi,-2000,Alt2woTUCPwoVA,13,2
hihi,-2000,Alt2woTUCPDeltaVA,17,2
hihi,-2000,Alt2woTUCPAllVA,17,2
hihi,-2000,Alt2wTUCPwoVA,13,2
hihi,-2000,Alt4,14,2
hihi,-3500,NAA,26,4
hihi,-3500,Alt1,10,1
hihi,-3500,Alt2woTUCPwoVA,33,5
hihi,-3500,Alt2woTUCPDeltaVA,15,2
hihi,-3500,Alt2woTUCPAllVA,17,2
hihi,-3500,Alt2wTUCPwoVA,33,5
hihi,-3500,Alt4,20,3
hihi,-5000,NAA,34,5
hihi,-5000,Alt1,9,1
hihi,-5000,Alt2woTUCPwoVA,35,5
hihi,-5000,Alt2woTUCPDeltaVA,35,5
hihi,-5000,Alt2woTUCPAllVA,35,5
hihi,-5000,Alt2wTUCPwoVA,35,5
hihi,-5000,Alt4,40,6
hihi,<-5500,NAA,5,1
hihi,<-5500,Alt1,65,9
hihi,<-5500,Alt2woTUCPwoVA,7,1
hihi,<-5500,Alt2woTUCPDeltaVA,7,1
hihi,<-5500,Alt2woTUCPAllVA,7,1
hihi,<-5500,Alt2wTUCPwoVA,7,1
hihi,<-5500,Alt4,6,1
hihi,NA,NAA,71,10
hihi,NA,Alt1,57,8
hihi,NA,Alt2woTUCPwoVA,64,9
hihi,NA,Alt2woTUCPDeltaVA,78,11
hihi,NA,Alt2woTUCPAllVA,79,11
hihi,NA,Alt2wTUCPwoVA,64,9
hihi,NA,Alt4,73,10
NA,-2000,NAA,0,NA
NA,-2000,Alt1,0,NA
NA,-2000,Alt2woTUCPwoVA,0,NA
NA,-2000,Alt2woTUCPDeltaVA,0,NA
NA,-2000,Alt2woTUCPAllVA,0,NA
NA,-2000,Alt2wTUCPwoVA,1,0
NA,-2000,Alt4,0,NA
NA,-3500,NAA,0,NA
NA,-3500,Alt1,0,NA
NA,-3500,Alt2woTUCPwoVA,0,NA
NA,-3500,Alt2woTUCPDeltaVA,0,NA
NA,-3500,Alt2woTUCPAllVA,0,NA
NA,-3500,Alt2wTUCPwoVA,0,NA
NA,-3500,Alt4,0,NA
NA,-5000,NAA,0,NA
NA,-5000,Alt1,0,NA
NA,-5000,Alt2woTUCPwoVA,0,NA
NA,-5000,Alt2woTUCPDeltaVA,0,NA
NA,-5000,Alt2woTUCPAllVA,0,NA
NA,-5000,Alt2wTUCPwoVA,0,NA
NA,-5000,Alt4,0,NA
NA,<-5500,NAA,0,NA
NA,<-5500,Alt1,0,NA
NA,<-5500,Alt2woTUCPwoVA,0,NA
NA,<-5500,Alt2woTUCPDeltaVA,0,NA
NA,<-5500,Alt2woTUCPAllVA,0,NA
NA,<-5500,Alt2wTUCPwoVA,0,NA
NA,<-5500,Alt4,0,NA
NA,NA,NAA,0,NA
NA,NA,Alt1,1,0
NA,NA,Alt2woTUCPwoVA,0,NA
NA,NA,Alt2woTUCPDeltaVA,0,NA
NA,NA,Alt2woTUCPAllVA,0,NA
NA,NA,Alt2wTUCPwoVA,0,NA
NA,NA,Alt4,0,NA
