Date,Month,OMR,Sac.cfs,SJR.cfs,Sub.group
1960/6/30,6,-5000,16198,1139,medlo
1961/1/31,1,-5000,12590,1284,lolo
1961/6/30,6,-5000,15586,988,medlo
1962/1/31,1,-5000,11036,1138,lolo
1962/2/28,2,-5000,52298,5289,hihi
1962/6/30,6,-5000,13279,1865,lomed
1963/6/30,6,-5000,15963,2674,medmed
1964/2/29,2,-5000,16870,2084,medmed
1964/6/30,6,-5000,15187,1182,medlo
1964/12/31,12,-5000,45921,2416,himed
1965/1/31,1,-5000,77272,11405,hihi
1966/6/30,6,-5000,13876,1378,lolo
1966/12/31,12,-5000,38687,2633,himed
1967/1/31,1,-5000,42617,4321,hihi
1968/6/30,6,-5000,16687,1300,medlo
1969/12/31,12,-5000,43276,4981,hihi
1970/2/28,2,-5000,64321,10135,hihi
1970/6/30,6,-5000,14972,1432,medlo
1971/6/30,6,-5000,12984,1751,lolo
1971/12/31,12,-5000,19596,1929,medmed
1972/6/30,6,-5000,14945,1201,medlo
1973/2/28,2,-5000,69361,7861,hihi
1973/6/30,6,-5000,16564,2148,medmed
1973/12/31,12,-5000,63364,3134,himed
1974/1/31,1,-5000,75659,9417,hihi
1974/2/28,2,-5000,42328,6135,hihi
1974/6/30,6,-5000,13747,2797,lomed
1975/1/31,1,-5000,13731,2774,lomed
1975/2/28,2,-5000,52223,9002,hihi
1975/6/30,6,-5000,14123,4424,medhi
1976/2/29,2,-5000,13283,2391,lomed
1976/3/31,3,-5000,14342,1675,medlo
1976/12/31,12,-5000,8951,1273,lolo
1977/2/28,2,-5000,12220,1245,lolo
1977/12/31,12,-5000,16697,1247,medlo
1978/2/28,2,-5000,51991,9329,hihi
1979/6/30,6,-5000,16381,2018,medmed
1981/6/30,6,-5000,15957,1471,medlo
1981/12/31,12,-5000,70295,1847,himed
1984/6/30,6,-5000,16644,2394,medmed
1985/1/31,1,-5000,12584,2220,lomed
1985/2/28,2,-5000,18717,2856,medmed
1985/6/30,6,-5000,15814,1338,medlo
1987/1/31,1,-5000,14124,1659,medlo
1987/12/31,12,-5000,18472,1400,medlo
1988/2/29,2,-5000,21747,1356,medlo
1988/6/30,6,-5000,15200,960,medlo
1989/1/31,1,-5000,14705,1211,medlo
1989/6/30,6,-5000,14322,907,medlo
1990/1/31,1,-5000,18647,1195,medlo
1990/2/28,2,-5000,16891,1516,medlo
1990/6/30,6,-5000,15541,807,medlo
1992/1/31,1,-5000,10750,973,lolo
1993/6/30,6,-5000,14838,4967,medhi
1994/1/31,1,-5000,13104,1335,lolo
1994/2/28,2,-5000,24966,2320,himed
1995/12/31,12,-5000,25481,2297,himed
1996/1/31,1,-5000,50605,4969,hihi
1996/6/30,6,-5000,11813,3098,lomed
1997/6/30,6,-5000,17373,3504,medmed
1998/12/31,12,-5000,39412,4414,hihi
1999/6/30,6,-5000,14215,2069,medmed
2000/2/29,2,-5000,64721,14259,hihi
2000/12/31,12,-5000,9831,1888,lomed
2001/1/31,1,-5000,16153,2018,medmed
2002/6/30,6,-5000,14825,1109,medlo
2003/6/30,6,-5000,12792,1206,lolo
1922/3/31,3,-3500,35195,11187,hihi
1922/5/31,5,-3500,41639,9471,hihi
1923/6/30,6,-3500,10468,2966,lomed
1925/3/31,3,-3500,17524,2408,medmed
1926/3/31,3,-3500,16301,1766,medlo
1927/3/31,3,-3500,44264,3579,himed
1928/3/31,3,-3500,73169,6767,hihi
1929/3/31,3,-3500,14428,1686,medlo
1930/3/31,3,-3500,30238,1906,himed
1934/1/31,1,-3500,20435,1757,medlo
1934/12/31,12,-3500,10325,1625,lolo
1935/1/31,1,-3500,29360,2319,himed
1935/3/31,3,-3500,27966,2937,himed
1936/1/31,1,-3500,39431,2919,himed
1936/3/31,3,-3500,30089,7531,hihi
1937/2/28,2,-3500,35830,18424,hihi
1937/3/31,3,-3500,37002,12226,hihi
1937/5/31,5,-3500,14696,13034,medhi
1938/6/30,6,-3500,21450,15300,medhi
1939/1/31,1,-3500,10826,2493,lomed
1939/3/31,3,-3500,11548,3619,lomed
1939/12/31,12,-3500,8860,1562,lolo
1940/1/31,1,-3500,30855,3072,himed
1940/3/31,3,-3500,69925,14407,hihi
1940/4/30,4,-3500,56319,11935,hihi
1941/3/31,3,-3500,62748,14260,hihi
1942/3/31,3,-3500,23904,8042,medhi
1944/3/31,3,-3500,21265,3639,medmed
1945/3/31,3,-3500,21501,8518,medhi
1946/3/31,3,-3500,20724,5440,medhi
1947/3/31,3,-3500,20614,1581,medlo
1948/1/31,1,-3500,14434,1426,medlo
1948/3/31,3,-3500,16751,1596,medlo
1949/3/31,3,-3500,47815,2469,himed
1950/3/31,3,-3500,20206,2108,medmed
1951/3/31,3,-3500,32057,7615,hihi
1952/3/31,3,-3500,60663,14322,hihi
1953/3/31,3,-3500,23527,3835,medmed
1954/3/31,3,-3500,46438,2529,himed
1954/6/30,6,-3500,11363,1891,lomed
1955/3/31,3,-3500,13876,1847,lomed
1957/3/31,3,-3500,43037,4337,hihi
1959/1/31,1,-3500,30222,2769,himed
1959/3/31,3,-3500,16434,3686,medmed
1959/6/30,6,-3500,13440,1217,lolo
1960/3/31,3,-3500,21323,1553,medlo
1961/3/31,3,-3500,20127,1412,medlo
1962/3/31,3,-3500,23553,3660,medmed
1963/3/31,3,-3500,29263,2462,himed
1964/1/31,1,-3500,24723,2416,himed
1964/3/31,3,-3500,12042,1606,lolo
1965/3/31,3,-3500,19219,4963,medhi
1966/1/31,1,-3500,34206,4695,hihi
1966/3/31,3,-3500,25138,4227,himed
1967/3/31,3,-3500,53166,11875,hihi
1967/5/31,5,-3500,38925,15035,hihi
1967/6/30,6,-3500,19680,16385,medhi
1968/1/31,1,-3500,26777,2480,himed
1968/3/31,3,-3500,33565,4617,hihi
1970/3/31,3,-3500,34824,9308,hihi
1971/3/31,3,-3500,49428,2682,himed
1973/3/31,3,-3500,50763,8841,hihi
1974/3/31,3,-3500,72458,10741,hihi
1975/3/31,3,-3500,61099,10190,hihi
1976/1/31,1,-3500,9965,1790,lolo
1978/3/31,3,-3500,58992,9677,hihi
1979/1/31,1,-3500,23558,6467,medhi
1979/3/31,3,-3500,27548,10496,hihi
1981/1/31,1,-3500,21129,2353,medmed
1981/3/31,3,-3500,23358,4168,medmed
1984/3/31,3,-3500,33810,8566,hihi
1985/3/31,3,-3500,13592,2505,lomed
1987/3/31,3,-3500,24523,2509,himed
1989/12/31,12,-3500,8746,1277,lolo
1991/1/31,1,-3500,7883,1020,lolo
1993/1/31,1,-3500,58616,4736,hihi
1993/3/31,3,-3500,49245,3634,himed
1995/1/31,1,-3500,71697,4728,hihi
1995/6/30,6,-3500,17619,16537,medhi
1996/5/31,5,-3500,30447,7828,hihi
1998/1/31,1,-3500,35815,4018,himed
1999/3/31,3,-3500,58731,7398,hihi
2000/1/31,1,-3500,23720,2840,medmed
2000/3/31,3,-3500,52155,11840,hihi
2001/3/31,3,-3500,22454,3339,medmed
2002/3/31,3,-3500,20043,1938,medmed
1922/4/30,4,-2000,32053,9523,hihi
1924/3/31,3,-2000,13184,1292,lolo
1924/5/31,5,-2000,7913,1345,lolo
1924/6/30,6,-2000,8551,978,lolo
1925/4/30,4,-2000,26280,6159,hihi
1927/4/30,4,-2000,49373,8050,hihi
1927/5/31,5,-2000,15328,4603,medhi
1928/5/31,5,-2000,13727,2859,lomed
1929/5/31,5,-2000,10965,1757,lolo
1930/4/30,4,-2000,12666,1763,lolo
1930/5/31,5,-2000,10579,1791,lolo
1931/3/31,3,-2000,9575,1171,lolo
1931/4/30,4,-2000,11234,1060,lolo
1931/5/31,5,-2000,7694,1063,lolo
1931/6/30,6,-2000,8191,996,lolo
1933/5/31,5,-2000,9849,2283,lomed
1934/4/30,4,-2000,12978,1031,lolo
1934/5/31,5,-2000,10913,1029,lolo
1934/6/30,6,-2000,11333,1092,lolo
1935/5/31,5,-2000,19217,7129,medhi
1937/6/30,6,-2000,11772,3679,lomed
1939/4/30,4,-2000,12982,2834,lomed
1939/6/30,6,-2000,12555,1217,lolo
1942/5/31,5,-2000,23734,9270,medhi
1946/4/30,4,-2000,16218,7997,medhi
1948/4/30,4,-2000,30218,3467,himed
1948/5/31,5,-2000,31361,2508,himed
1949/4/30,4,-2000,13734,3156,lomed
1949/5/31,5,-2000,13974,2428,medmed
1951/5/31,5,-2000,11636,3591,lomed
1952/4/30,4,-2000,55604,15439,hihi
1953/4/30,4,-2000,15101,5379,medhi
1953/5/31,5,-2000,20556,4100,medmed
1954/4/30,4,-2000,37998,5553,hihi
1954/5/31,5,-2000,15021,3476,medmed
1956/2/29,2,-2000,65094,15870,hihi
1956/4/30,4,-2000,15545,8650,medhi
1957/5/31,5,-2000,16788,3256,medmed
1958/3/31,3,-2000,72188,14463,hihi
1959/4/30,4,-2000,11497,2381,lomed
1959/5/31,5,-2000,11799,1890,lomed
1959/12/31,12,-2000,7615,1433,lolo
1960/4/30,4,-2000,17453,1751,medlo
1960/5/31,5,-2000,10109,1715,lolo
1961/5/31,5,-2000,11824,1381,lolo
1963/4/30,4,-2000,68350,7670,hihi
1963/5/31,5,-2000,20565,4763,medhi
1964/4/30,4,-2000,11284,2068,lomed
1964/5/31,5,-2000,13972,1727,lolo
1966/5/31,5,-2000,15124,2180,medmed
1968/5/31,5,-2000,10367,1982,lomed
1971/4/30,4,-2000,24287,5322,hihi
1971/5/31,5,-2000,20147,3381,medmed
1974/5/31,5,-2000,16993,5781,medhi
1975/5/31,5,-2000,26595,4775,hihi
1976/5/31,5,-2000,8626,1587,lolo
1977/1/31,1,-2000,8253,1220,lolo
1977/4/30,4,-2000,10338,1122,lolo
1977/5/31,5,-2000,6722,1366,lolo
1977/6/30,6,-2000,9091,673,lolo
1981/4/30,4,-2000,15857,4139,medmed
1985/4/30,4,-2000,11927,2848,lomed
1987/4/30,4,-2000,14081,1533,medlo
1987/6/30,6,-2000,12694,1139,lolo
1988/5/31,5,-2000,10798,1405,lolo
1989/4/30,4,-2000,23396,1865,medmed
1989/5/31,5,-2000,15023,1346,medlo
1991/2/28,2,-2000,11559,1302,lolo
1991/5/31,5,-2000,8057,1774,lolo
1991/6/30,6,-2000,11001,987,lolo
1992/5/31,5,-2000,11014,948,lolo
1992/6/30,6,-2000,12201,570,lolo
1993/4/30,4,-2000,36064,5751,hihi
1993/5/31,5,-2000,17393,8558,medhi
1994/5/31,5,-2000,8418,1685,lolo
1994/6/30,6,-2000,9379,851,lolo
1996/2/29,2,-2000,75134,15158,hihi
1996/3/31,3,-2000,59972,13225,hihi
1997/4/30,4,-2000,15480,6835,medhi
1998/6/30,6,-2000,36564,18257,hihi
2000/5/31,5,-2000,10770,4224,lomed
2001/6/30,6,-2000,12913,1188,lolo
2002/4/30,4,-2000,14658,2253,medmed
2002/5/31,5,-2000,10665,2077,lomed
2003/4/30,4,-2000,28326,3272,himed
2003/5/31,5,-2000,37713,2294,himed
