"","Date","Month","OMR","Sac.cfs","SJR.cfs","Sub.group"
"179","1968/1/31",1,-3500,26777,2480,"medmed"
"180","1968/3/31",3,-3500,33565,4617,"himed"
"181","1970/3/31",3,-3500,34824,9308,"hihi"
"182","1971/3/31",3,-3500,49428,2682,"himed"
"183","1972/3/31",3,-3500,29856,1547,"medlo"
"184","1973/3/31",3,-3500,50763,8841,"hihi"
"185","1975/3/31",3,-3500,61099,10190,"hihi"
"186","1976/1/31",1,-3500,9965,1790,"lomed"
"187","1978/3/31",3,-3500,58992,9677,"hihi"
"188","1979/1/31",1,-3500,23558,6467,"medhi"
"189","1979/3/31",3,-3500,27548,10496,"medhi"
"190","1981/1/31",1,-3500,21129,2353,"medmed"
"191","1981/3/31",3,-3500,23358,4168,"medmed"
"192","1984/3/31",3,-3500,33810,8566,"hihi"
"193","1985/3/31",3,-3500,13592,2505,"medmed"
"194","1986/1/31",1,-3500,26697,1659,"medlo"
"195","1987/3/31",3,-3500,24523,2509,"medmed"
"196","1993/1/31",1,-3500,58616,4736,"himed"
"197","1993/3/31",3,-3500,49245,3634,"himed"
"198","1996/5/31",5,-3500,30447,7828,"medhi"
"199","1998/1/31",1,-3500,35815,4018,"himed"
"200","1999/3/31",3,-3500,58731,7398,"hihi"
"201","2000/1/31",1,-3500,23720,2840,"medmed"
"202","2000/3/31",3,-3500,52155,11840,"hihi"
"203","2001/3/31",3,-3500,22454,3339,"medmed"
"204","2002/3/31",3,-3500,20043,1938,"medmed"
"205","2003/3/31",3,-3500,26549,1715,"medmed"
"206","1922/4/30",4,-2000,32053,9523,"hihi"
"207","1924/3/31",3,-2000,13184,1292,"medlo"
"208","1925/4/30",4,-2000,26280,6159,"medhi"
"209","1927/4/30",4,-2000,49373,8050,"hihi"
"210","1927/5/31",5,-2000,15328,4603,"medmed"
"211","1928/5/31",5,-2000,13727,2859,"medmed"
"212","1929/5/31",5,-2000,10965,1757,"lomed"
"213","1930/4/30",4,-2000,12666,1763,"lomed"
"214","1930/5/31",5,-2000,10579,1791,"lomed"
"215","1931/3/31",3,-2000,9575,1171,"lolo"
"216","1932/5/31",5,-2000,13602,4475,"medmed"
"217","1933/5/31",5,-2000,9849,2283,"lomed"
"218","1934/6/30",6,-2000,11333,1092,"lolo"
"219","1935/5/31",5,-2000,19217,7129,"medhi"
"220","1937/6/30",6,-2000,11772,3679,"lomed"
"221","1939/4/30",4,-2000,12982,2834,"medmed"
"222","1939/6/30",6,-2000,12555,1217,"lolo"
"223","1940/5/31",5,-2000,12459,5208,"lomed"
"224","1942/5/31",5,-2000,23734,9270,"medhi"
"225","1946/4/30",4,-2000,16218,7997,"medhi"
"226","1946/5/31",5,-2000,12333,5602,"lomed"
"227","1948/4/30",4,-2000,30218,3467,"medmed"
"228","1948/5/31",5,-2000,31361,2508,"himed"
"229","1949/4/30",4,-2000,13734,3156,"medmed"
"230","1949/5/31",5,-2000,13974,2428,"medmed"
"231","1951/5/31",5,-2000,11636,3591,"lomed"
"232","1953/4/30",4,-2000,15101,5379,"medmed"
"233","1953/5/31",5,-2000,20556,4100,"medmed"
"234","1954/4/30",4,-2000,37998,5553,"himed"
"235","1954/5/31",5,-2000,15021,3476,"medmed"
"236","1956/4/30",4,-2000,15545,8650,"medhi"
"237","1957/5/31",5,-2000,16788,3256,"medmed"
"238","1959/4/30",4,-2000,11497,2381,"lomed"
"239","1959/5/31",5,-2000,11799,1890,"lomed"
"240","1960/4/30",4,-2000,17453,1751,"medmed"
"241","1960/5/31",5,-2000,10109,1715,"lomed"
"242","1961/5/31",5,-2000,11824,1381,"lolo"
"243","1962/4/30",4,-2000,13604,6808,"medhi"
"244","1963/5/31",5,-2000,20565,4763,"medmed"
"245","1964/4/30",4,-2000,11284,2068,"lomed"
"246","1964/5/31",5,-2000,13972,1727,"medmed"
"247","1966/5/31",5,-2000,15124,2180,"medmed"
"248","1968/5/31",5,-2000,10367,1982,"lomed"
"249","1971/4/30",4,-2000,24287,5322,"medmed"
"250","1971/5/31",5,-2000,20147,3381,"medmed"
"251","1974/5/31",5,-2000,16993,5781,"medhi"
"252","1975/5/31",5,-2000,26595,4775,"medmed"
"253","1977/4/30",4,-2000,10338,1122,"lolo"
"254","1981/4/30",4,-2000,15857,4139,"medmed"
"255","1985/4/30",4,-2000,11927,2848,"lomed"
"256","1987/4/30",4,-2000,14081,1533,"medlo"
"257","1987/6/30",6,-2000,12694,1139,"lolo"
"258","1988/5/31",5,-2000,10798,1405,"lolo"
"259","1989/4/30",4,-2000,23396,1865,"medmed"
"260","1989/5/31",5,-2000,15023,1346,"medlo"
"261","1991/2/28",2,-2000,11559,1302,"lolo"
"262","1993/4/30",4,-2000,36064,5751,"hihi"
"263","1993/5/31",5,-2000,17393,8558,"medhi"
"264","1997/4/30",4,-2000,15480,6835,"medhi"
"265","2000/5/31",5,-2000,10770,4224,"lomed"
"266","2001/6/30",6,-2000,12913,1188,"lolo"
"267","2002/4/30",4,-2000,14658,2253,"medmed"
"268","2002/5/31",5,-2000,10665,2077,"lomed"
"269","2003/4/30",4,-2000,28326,3272,"medmed"
"270","2003/5/31",5,-2000,37713,2294,"himed"
